20260313 112900;24855.75;24857;24850.25;24850.75;11
20260313 113000;24849.75;24851.25;24834;24841.75;20
20260313 113100;24841.5;24841.5;24835.25;24837.75;6
20260313 113200;24839;24846;24839;24846;5
20260313 113300;24845.25;24845.25;24844.75;24844.75;2
20260313 113400;24850.5;24850.5;24846.25;24846.25;6
20260313 113500;24843.25;24843.25;24842.25;24842.25;3
20260313 113600;24841;24841;24837.5;24837.5;5
20260313 113700;24840.25;24848;24839.75;24848;5
20260313 113800;24849.25;24856;24849.25;24856;9
20260313 113900;24850;24850;24844.5;24844.5;22
20260313 114100;24839;24845;24839;24845;3
20260313 114200;24848.75;24849.25;24845.25;24849.25;9
20260313 114300;24843.75;24843.75;24838.5;24840.75;3
20260313 114400;24842.5;24842.5;24842;24842;2
20260313 114500;24845;24860;24845;24860;18
20260313 114600;24860.25;24866.25;24860.25;24861.5;40
20260313 114700;24863.5;24865.25;24859.25;24859.75;10
20260313 114800;24855.25;24855.75;24853;24854;19
20260313 114900;24852.25;24857.5;24852;24857.5;10
20260313 115000;24857.5;24858.5;24854.25;24857.75;7
20260313 115100;24849;24851.5;24847.75;24851.5;6
20260313 115200;24859.5;24868;24859.5;24865.75;48
20260313 115300;24867.5;24868;24861.75;24862.5;5
20260313 115400;24863.75;24871.75;24863.5;24866.25;28
20260313 115500;24867.25;24870.75;24865;24865.75;7
20260313 115600;24862;24874;24862;24870.75;16
20260313 115700;24874;24876;24871.75;24872.25;29
20260313 115800;24876.75;24876.75;24867.75;24868;10
20260313 115900;24875;24875;24869.75;24870;23
20260313 120000;24870;24872.5;24866.75;24872.5;24
20260313 120100;24877;24879.75;24875.5;24876;115
20260313 120200;24869.75;24881.5;24867.5;24877.75;29
20260313 120300;24880.5;24886.25;24880;24880.5;11
20260313 120400;24881.5;24881.5;24878.5;24880.5;5
20260313 120500;24875;24875;24864.5;24864.5;4
20260313 120600;24864.25;24865;24858.75;24858.75;13
20260313 120700;24856;24856;24850.5;24850.5;7
20260313 120800;24856;24856;24850.75;24850.75;2
20260313 120900;24853.75;24858;24853.5;24858;8
20260313 121000;24858.25;24858.25;24853.75;24855;13
20260313 121100;24857.75;24857.75;24846.75;24852;22
20260313 121200;24846.25;24854.5;24845;24854.5;6
20260313 121300;24855;24856;24843.5;24843.5;5
20260313 121400;24850;24853.75;24850;24851;8
20260313 121500;24850.25;24862;24850.25;24862;6
20260313 121600;24861.75;24862;24851;24851;13
20260313 121700;24853;24861.75;24852.75;24861.75;11
20260313 121800;24855.5;24861.75;24855.5;24861.75;3
20260313 121900;24855.75;24855.75;24853.5;24853.5;4
20260313 122000;24855.5;24855.5;24855.5;24855.5;1
20260313 122100;24842;24842;24842;24842;1
20260313 122200;24840.5;24845.5;24840.5;24845.5;6
20260313 122300;24847.25;24851.5;24845.75;24851.5;9
20260313 122400;24845.5;24850;24843;24850;13
20260313 122500;24850;24850;24843.5;24848;14
20260313 122600;24848;24853;24845.75;24853;13
20260313 122700;24845;24853.75;24845;24848.5;7
20260313 122800;24855;24857.25;24855;24857.25;4
20260313 122900;24863.75;24866;24863.75;24865.75;4
20260313 123000;24858;24858;24853.75;24853.75;3
20260313 123100;24865.75;24891;24865.75;24883.5;56
20260313 123200;24879;24881;24869.25;24872;13
20260313 123300;24872;24881;24866;24881;8
20260313 123400;24875.25;24875.25;24864.5;24865.5;11
20260313 123500;24875.75;24875.75;24869.25;24871.25;11
20260313 123600;24864.75;24868.25;24855;24855;14
20260313 123700;24853.75;24856.25;24849.75;24853.5;30
20260313 123800;24860.5;24862.75;24856;24856;19
