strategy,direction,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_dollars,pnl_ticks,hold_min,year,hour_ct,note
e_multi_day_breakout,LONG,2023-05-17 16:30:00+00:00,13555.0,13551.5,13562.0,2023-05-17 16:32:00+00:00,13562.0,target,14.0,28,2.0,2023,11,3d_break LONG 3dH=13554.25 3dL=13310.00
g_inside_bar_breakout,LONG,2023-05-17 18:20:00+00:00,13656.5,13649.25,13671.0,2023-05-17 18:32:00+00:00,13649.25,stop,-14.5,-29,12.0,2023,13,"IB_break LONG ib=[13649.50,13660.25]"
g_inside_bar_breakout,SHORT,2023-05-17 18:40:00+00:00,13645.75,13651.75,13633.75,2023-05-17 18:43:00+00:00,13633.75,target,24.0,48,3.0,2023,13,"IB_break SHORT ib=[13640.00,13651.50]"
e_multi_day_breakout,LONG,2023-05-18 13:45:00+00:00,13703.75,13697.0,13717.25,2023-05-18 13:50:00+00:00,13697.0,stop,-13.5,-27,5.0,2023,8,3d_break LONG 3dH=13669.25 3dL=13351.25
g_inside_bar_breakout,LONG,2023-05-19 14:10:00+00:00,13869.25,13863.25,13881.25,2023-05-19 14:12:00+00:00,13881.25,target,24.0,48,2.0,2023,9,"IB_break LONG ib=[13863.50,13883.75]"
e_multi_day_breakout,LONG,2023-05-19 14:31:00+00:00,13898.75,13894.75,13906.75,2023-05-19 14:34:00+00:00,13906.75,target,16.0,32,3.0,2023,9,3d_break LONG 3dH=13901.00 3dL=13434.50
e_multi_day_breakout,LONG,2023-05-22 13:53:00+00:00,13933.5,13927.0,13946.5,2023-05-22 13:57:00+00:00,13927.0,stop,-13.0,-26,4.0,2023,8,3d_break LONG 3dH=13929.00 3dL=13475.00
g_inside_bar_breakout,SHORT,2023-05-22 14:40:00+00:00,13910.5,13915.0,13901.5,2023-05-22 14:42:00+00:00,13901.5,target,18.0,36,2.0,2023,9,"IB_break SHORT ib=[13904.50,13914.75]"
g_inside_bar_breakout,LONG,2023-05-22 16:05:00+00:00,13899.0,13891.75,13913.5,2023-05-22 16:23:00+00:00,13891.75,stop,-14.5,-29,18.0,2023,11,"IB_break LONG ib=[13892.00,13900.50]"
g_inside_bar_breakout,SHORT,2023-05-22 18:10:00+00:00,13905.5,13910.75,13895.0,2023-05-22 18:17:00+00:00,13910.75,stop,-10.5,-21,7.0,2023,13,"IB_break SHORT ib=[13903.25,13910.50]"
a_asian_continuation,SHORT,2023-05-23 09:40:00+00:00,13897.75,13901.25,13890.75,2023-05-23 09:43:00+00:00,13890.75,target,14.0,28,3.0,2023,4,"ON_break SHORT close5=13889.25 on=[13894.00,13977.25]"
g_inside_bar_breakout,SHORT,2023-05-23 16:25:00+00:00,13845.75,13850.25,13836.75,2023-05-23 16:28:00+00:00,13836.75,target,18.0,36,3.0,2023,11,"IB_break SHORT ib=[13843.00,13850.00]"
e_multi_day_breakout,SHORT,2023-05-24 13:50:00+00:00,13650.0,13652.0,13646.0,2023-05-24 13:51:00+00:00,13646.0,target,8.0,16,1.0,2023,8,3d_break SHORT 3dH=13946.75 3dL=13711.00
g_inside_bar_breakout,LONG,2023-05-24 16:30:00+00:00,13582.5,13580.0,13587.5,2023-05-24 16:31:00+00:00,13580.0,stop,-5.0,-10,1.0,2023,11,"IB_break LONG ib=[13580.25,13587.75]"
a_asian_continuation,LONG,2023-05-25 10:20:00+00:00,13912.75,13909.25,13919.75,2023-05-25 10:24:00+00:00,13919.75,target,14.0,28,4.0,2023,5,"ON_break LONG close5=13919.00 on=[13803.00,13914.50]"
e_multi_day_breakout,LONG,2023-05-25 15:05:00+00:00,13937.0,13933.25,13944.5,2023-05-25 15:06:00+00:00,13944.5,target,15.0,30,1.0,2023,10,3d_break LONG 3dH=13946.75 3dL=13566.75
g_inside_bar_breakout,LONG,2023-05-25 16:10:00+00:00,13952.0,13947.5,13961.0,2023-05-25 16:12:00+00:00,13961.0,target,18.0,36,2.0,2023,11,"IB_break LONG ib=[13947.75,13963.00]"
g_inside_bar_breakout,SHORT,2023-05-25 16:30:00+00:00,13993.5,13997.25,13986.0,2023-05-25 16:32:00+00:00,13986.0,target,15.0,30,2.0,2023,11,"IB_break SHORT ib=[13983.50,13997.00]"
a_asian_continuation,LONG,2023-05-26 10:30:00+00:00,13992.25,13988.75,13999.25,2023-05-26 10:33:00+00:00,13999.25,target,14.0,28,3.0,2023,5,"ON_break LONG close5=14001.75 on=[13924.75,13996.00]"
e_multi_day_breakout,LONG,2023-05-26 13:45:00+00:00,14083.5,14076.75,14097.0,2023-05-26 13:48:00+00:00,14097.0,target,27.0,54,3.0,2023,8,3d_break LONG 3dH=14031.50 3dL=13566.75
b_rth_open_drive_scalp,SHORT,2023-05-29 13:35:00+00:00,14372.5,14373.625,14370.25,2023-05-29 13:39:00+00:00,14373.625,stop,-2.0,-4,4.0,2023,8,OR_drive SHORT progress=-86%
e_multi_day_breakout,LONG,2023-05-29 13:45:00+00:00,14375.5,14368.25,14390.0,2023-05-29 13:54:00+00:00,14368.25,stop,-14.5,-29,9.0,2023,8,3d_break LONG 3dH=14368.75 3dL=13566.75
d_orb_fade_fixed,SHORT,2023-05-29 14:19:00+00:00,14378.5,14383.25,14368.0,2023-05-29 14:27:00+00:00,14383.25,stop,-9.5,-19,8.0,2023,9,FADE SHORT (failed LONG) wick=33% d=-280
g_inside_bar_breakout,LONG,2023-05-29 15:35:00+00:00,14381.5,14378.0,14388.5,2023-05-29 15:58:00+00:00,14378.0,stop,-7.0,-14,23.0,2023,10,"IB_break LONG ib=[14378.25,14383.25]"
d_orb_fade_fixed,SHORT,2023-05-29 15:58:00+00:00,14377.5,14381.25,14368.0,2023-05-29 16:06:00+00:00,14381.25,stop,-7.5,-15,8.0,2023,10,FADE SHORT (failed LONG) wick=73% d=-515
a_asian_continuation,LONG,2023-05-30 08:15:00+00:00,14462.75,14459.25,14469.75,2023-05-30 08:17:00+00:00,14469.75,target,14.0,28,2.0,2023,3,"ON_break LONG close5=14481.25 on=[14378.25,14463.75]"
b_rth_open_drive_scalp,LONG,2023-05-30 13:36:00+00:00,14506.0,14502.125,14513.75,2023-05-30 13:37:00+00:00,14502.125,stop,-8.0,-16,1.0,2023,8,OR_drive LONG progress=+6%
e_multi_day_breakout,LONG,2023-05-30 13:53:00+00:00,14443.0,14437.0,14455.0,2023-05-30 13:55:00+00:00,14437.0,stop,-12.0,-24,2.0,2023,8,3d_break LONG 3dH=14411.25 3dL=13851.25
b_rth_open_drive_scalp,LONG,2023-05-31 13:35:00+00:00,14346.5,14343.75,14352.0,2023-05-31 13:36:00+00:00,14343.75,stop,-5.5,-11,1.0,2023,8,OR_drive LONG progress=+56%
g_inside_bar_breakout,SHORT,2023-05-31 16:15:00+00:00,14297.25,14301.0,14289.75,2023-05-31 16:17:00+00:00,14289.75,target,15.0,30,2.0,2023,11,"IB_break SHORT ib=[14290.00,14300.75]"
g_inside_bar_breakout,LONG,2023-05-31 16:45:00+00:00,14272.0,14267.75,14280.5,2023-05-31 16:47:00+00:00,14280.5,target,17.0,34,2.0,2023,11,"IB_break LONG ib=[14268.00,14278.50]"
