strategy,direction,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_dollars,pnl_ticks,hold_min,year,hour_ct,note
raschke_loose_trend,LONG,2022-06-21 19:05:00+00:00,11615.25,11606.0,11633.75,2022-06-21 19:25:00+00:00,11606.0,stop,-18.5,-37,20.0,2022,14,raschke LONG pb=11619.25 ema=11606.38
raschke_baseline,LONG,2022-06-22 19:00:00+00:00,11662.5,11656.75,11674.0,2022-06-22 19:01:00+00:00,11656.75,stop,-11.5,-23,1.0,2022,14,raschke LONG pb=11673.25 ema=11667.79
raschke_strict_trend,LONG,2022-06-22 19:00:00+00:00,11662.5,11656.75,11674.0,2022-06-22 19:01:00+00:00,11656.75,stop,-11.5,-23,1.0,2022,14,raschke LONG pb=11673.25 ema=11667.79
raschke_loose_trend,LONG,2022-06-22 19:00:00+00:00,11662.5,11656.75,11674.0,2022-06-22 19:01:00+00:00,11656.75,stop,-11.5,-23,1.0,2022,14,raschke LONG pb=11673.25 ema=11667.79
raschke_1.5r_target,LONG,2022-06-22 19:00:00+00:00,11662.5,11656.75,11671.125,2022-06-22 19:01:00+00:00,11656.75,stop,-11.5,-23,1.0,2022,14,raschke LONG pb=11673.25 ema=11667.79
raschke_3r_target,LONG,2022-06-22 19:00:00+00:00,11662.5,11656.75,11679.75,2022-06-22 19:01:00+00:00,11656.75,stop,-11.5,-23,1.0,2022,14,raschke LONG pb=11673.25 ema=11667.79
raschke_long_only,LONG,2022-06-22 19:00:00+00:00,11662.5,11656.75,11674.0,2022-06-22 19:01:00+00:00,11656.75,stop,-11.5,-23,1.0,2022,14,raschke LONG pb=11673.25 ema=11667.79
raschke_loose_trend,LONG,2022-06-23 18:20:00+00:00,11610.5,11604.75,11622.0,2022-06-23 18:22:00+00:00,11622.0,target,23.0,46,2.0,2022,13,raschke LONG pb=11625.25 ema=11609.63
raschke_baseline,LONG,2022-06-24 15:55:00+00:00,11992.5,11983.25,12011.0,2022-06-24 15:59:00+00:00,12011.0,target,37.0,74,4.0,2022,10,raschke LONG pb=12008.25 ema=11994.79
raschke_strict_trend,LONG,2022-06-24 15:55:00+00:00,11992.5,11983.25,12011.0,2022-06-24 15:59:00+00:00,12011.0,target,37.0,74,4.0,2022,10,raschke LONG pb=12008.25 ema=11994.79
raschke_loose_trend,LONG,2022-06-24 15:55:00+00:00,11992.5,11983.25,12011.0,2022-06-24 15:59:00+00:00,12011.0,target,37.0,74,4.0,2022,10,raschke LONG pb=12008.25 ema=11994.79
raschke_1.5r_target,LONG,2022-06-24 15:55:00+00:00,11992.5,11983.25,12006.375,2022-06-24 15:59:00+00:00,12006.375,target,28.0,56,4.0,2022,10,raschke LONG pb=12008.25 ema=11994.79
raschke_3r_target,LONG,2022-06-24 15:55:00+00:00,11992.5,11983.25,12020.25,2022-06-24 16:01:00+00:00,12020.25,target,55.5,111,6.0,2022,10,raschke LONG pb=12008.25 ema=11994.79
raschke_long_only,LONG,2022-06-24 15:55:00+00:00,11992.5,11983.25,12011.0,2022-06-24 15:59:00+00:00,12011.0,target,37.0,74,4.0,2022,10,raschke LONG pb=12008.25 ema=11994.79
raschke_loose_trend,SHORT,2022-06-24 17:50:00+00:00,12011.25,12017.25,11999.25,2022-06-24 17:55:00+00:00,11999.25,target,24.0,48,5.0,2022,12,raschke SHORT pb=12003.75 ema=12013.02
raschke_baseline,LONG,2022-06-24 18:25:00+00:00,12023.25,12014.5,12040.75,2022-06-24 18:33:00+00:00,12040.75,target,35.0,70,8.0,2022,13,raschke LONG pb=12024.75 ema=12014.68
raschke_strict_trend,LONG,2022-06-24 18:25:00+00:00,12023.25,12014.5,12040.75,2022-06-24 18:33:00+00:00,12040.75,target,35.0,70,8.0,2022,13,raschke LONG pb=12024.75 ema=12014.68
raschke_loose_trend,LONG,2022-06-24 18:25:00+00:00,12023.25,12014.5,12040.75,2022-06-24 18:33:00+00:00,12040.75,target,35.0,70,8.0,2022,13,raschke LONG pb=12024.75 ema=12014.68
raschke_ema9_ref,LONG,2022-06-24 18:25:00+00:00,12023.25,12014.5,12040.75,2022-06-24 18:33:00+00:00,12040.75,target,35.0,70,8.0,2022,13,raschke LONG pb=12024.75 ema=12017.16
