strategy,direction,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_dollars,pnl_ticks,hold_min,year
bias_momentum,LONG,2026-05-11 14:00:00+00:00,29321.75,29306.75,29359.25,2026-05-11 14:01:00+00:00,29359.25,target,75.0,150,1.0,2026
bias_momentum,LONG,2026-05-11 14:01:00+00:00,29357.0,29342.0,29394.5,2026-05-11 14:02:00+00:00,29342.0,stop,-30.0,-60,1.0,2026
bias_momentum,LONG,2026-05-11 14:02:00+00:00,29343.5,29328.5,29381.0,2026-05-11 14:07:00+00:00,29381.0,target,75.0,150,5.0,2026
bias_momentum,LONG,2026-05-11 14:07:00+00:00,29383.75,29368.75,29421.25,2026-05-11 14:09:00+00:00,29368.75,stop,-30.0,-60,2.0,2026
bias_momentum,LONG,2026-05-11 14:09:00+00:00,29376.25,29361.25,29413.75,2026-05-11 14:10:00+00:00,29361.25,stop,-30.0,-60,1.0,2026
bias_momentum,LONG,2026-05-11 14:10:00+00:00,29384.75,29369.75,29422.25,2026-05-11 14:11:00+00:00,29369.75,stop,-30.0,-60,1.0,2026
bias_momentum,LONG,2026-05-11 14:11:00+00:00,29373.0,29358.0,29410.5,2026-05-11 14:16:00+00:00,29410.5,target,75.0,150,5.0,2026
bias_momentum,LONG,2026-05-11 14:16:00+00:00,29412.25,29397.25,29449.75,2026-05-11 14:18:00+00:00,29397.25,stop,-30.0,-60,2.0,2026
spring_setup,LONG,2026-05-11 14:18:00+00:00,29408.75,29358.75,29483.75,2026-05-11 14:26:00+00:00,29358.75,stop,-100.0,-200,8.0,2026
bias_momentum,LONG,2026-05-11 14:18:00+00:00,29408.75,29393.75,29446.25,2026-05-11 14:20:00+00:00,29393.75,stop,-30.0,-60,2.0,2026
bias_momentum,LONG,2026-05-11 14:30:00+00:00,29295.75,29280.75,29333.25,2026-05-11 14:31:00+00:00,29280.75,stop,-30.0,-60,1.0,2026
