strategy,window_idx,is_start,is_end,oos_start,oos_end,best_params,is_pf,is_trades,oos_pf,oos_trades,oos_net,wfe,degraded
compression_breakout_v2,10,2023-11-17,2024-11-16,2024-11-17,2025-02-16,"{""bb_std"": 1.5, ""target_rr"": 1.5}",0.5297,85,1.6805,7,63.26,3.1723,False
noise_area,10,2023-11-17,2024-11-16,2024-11-17,2025-02-16,"{""band_mult"": 1.3, ""trade_freq_minutes"": 60}",0.0,504,0.0,112,-539.84,0.0,False
es_nq_confluence,10,2023-11-17,2024-11-16,2024-11-17,2025-02-16,"{""boost_threshold"": 25.0, ""corr_threshold"": 0.8}",1.9254,14,0.0,2,-33.64,0.0,True
opening_session,11,2024-02-17,2025-02-16,2025-02-17,2025-05-16,"{""max_trades_per_day"": 2, ""open_drive_min_displacement_pts"": 10, ""orb_target_pct_of_or"": 0.5}",1.9291,413,2.6599,63,1854.34,1.3788,False
vwap_band_pullback,11,2024-02-17,2025-02-16,2025-02-17,2025-05-16,"{""min_tf_votes"": 2, ""min_volume_ratio"": 1.0, ""target_rr"": 1.8}",0.9261,44,0.2222,4,-74.78,0.2399,True
compression_breakout_v2,11,2024-02-17,2025-02-16,2025-02-17,2025-05-16,"{""bb_std"": 1.5, ""target_rr"": 1.5}",0.6943,71,0.4956,11,-122.7,0.7138,True
noise_area,11,2024-02-17,2025-02-16,2025-02-17,2025-05-16,"{""band_mult"": 1.3, ""trade_freq_minutes"": 60}",0.0,516,0.0,85,-409.7,0.0,False
es_nq_confluence,11,2024-02-17,2025-02-16,2025-02-17,2025-05-16,"{""boost_threshold"": 20.0, ""corr_threshold"": 0.8}",1.8541,31,2.0267,34,328.12,1.0931,False
opening_session,12,2024-05-17,2025-05-16,2025-05-17,2025-08-16,"{""max_trades_per_day"": 2, ""open_drive_min_displacement_pts"": 10, ""orb_target_pct_of_or"": 0.5}",2.2208,361,1.7732,112,1714.66,0.7984,True
vwap_band_pullback,12,2024-05-17,2025-05-16,2025-05-17,2025-08-16,"{""min_tf_votes"": 3, ""min_volume_ratio"": 0.8, ""target_rr"": 2.0}",0.9555,33,0.3028,9,-373.88,0.3169,True
compression_breakout_v2,12,2024-05-17,2025-05-16,2025-05-17,2025-08-16,"{""bb_std"": 1.5, ""target_rr"": 1.5}",0.7496,57,0.2278,9,-172.38,0.3039,True
noise_area,12,2024-05-17,2025-05-16,2025-05-17,2025-08-16,"{""band_mult"": 1.3, ""trade_freq_minutes"": 60}",0.0,494,0.0,101,-486.82,0.0,False
es_nq_confluence,12,2024-05-17,2025-05-16,2025-05-17,2025-08-16,"{""boost_threshold"": 20.0, ""corr_threshold"": 0.8}",1.9967,64,999.0,1,43.18,500.3263,False
opening_session,13,2024-08-17,2025-08-16,2025-08-17,2025-11-16,"{""max_trades_per_day"": 2, ""open_drive_min_displacement_pts"": 10, ""orb_target_pct_of_or"": 0.5}",2.1775,364,1.9818,99,2047.82,0.9101,False
vwap_band_pullback,13,2024-08-17,2025-08-16,2025-08-17,2025-11-16,"{""min_tf_votes"": 3, ""min_volume_ratio"": 0.8, ""target_rr"": 2.0}",1.043,31,4.1702,7,491.26,3.9982,False
compression_breakout_v2,13,2024-08-17,2025-08-16,2025-08-17,2025-11-16,"{""bb_std"": 1.5, ""target_rr"": 2.5}",0.5457,41,0.6364,10,-80.2,1.1661,False
noise_area,13,2024-08-17,2025-08-16,2025-08-17,2025-11-16,"{""band_mult"": 1.3, ""trade_freq_minutes"": 60}",0.0,489,0.0,121,-628.72,0.0,False
es_nq_confluence,13,2024-08-17,2025-08-16,2025-08-17,2025-11-16,"{""boost_threshold"": 20.0, ""corr_threshold"": 0.9}",2.4246,35,2.5672,4,52.72,1.0588,False
opening_session,14,2024-11-17,2025-11-16,2025-11-17,2026-02-16,"{""max_trades_per_day"": 2, ""open_drive_min_displacement_pts"": 10, ""orb_target_pct_of_or"": 0.5}",1.993,357,1.387,51,459.18,0.6959,True
vwap_band_pullback,14,2024-11-17,2025-11-16,2025-11-17,2026-02-16,"{""min_tf_votes"": 3, ""min_volume_ratio"": 0.8, ""target_rr"": 2.0}",1.0743,26,1.8291,7,219.26,1.7026,False
compression_breakout_v2,14,2024-11-17,2025-11-16,2025-11-17,2026-02-16,"{""bb_std"": 1.5, ""target_rr"": 2.5}",0.5938,35,0.0,4,-134.28,0.0,True
noise_area,14,2024-11-17,2025-11-16,2025-11-17,2026-02-16,"{""band_mult"": 1.3, ""trade_freq_minutes"": 60}",0.0,513,0.0,112,-539.84,0.0,False
es_nq_confluence,14,2024-11-17,2025-11-16,2025-11-17,2026-02-16,"{""boost_threshold"": 20.0, ""corr_threshold"": 0.85}",2.4449,41,6.418,7,182.26,2.625,False
