strategy,direction,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_dollars,pnl_ticks,hold_min,year,mae_ticks,mfe_ticks,regime,tod_bucket
g_inside_bar_breakout,LONG,2022-04-06 16:30:00+00:00,14436.5,14429.25,14451.0,2022-04-06 16:31:00+00:00,14451.0,target,24.18,58,1.0,2022,10.0,68.0,MEAN_REVERT_CHOP,Mid-Day Lull
a_asian_continuation,LONG,2022-04-07 08:55:00+00:00,14563.0,14559.5,14570.0,2022-04-07 08:57:00+00:00,14570.0,target,9.18,28,2.0,2022,2.0,42.0,MEAN_REVERT_CHOP,Globex Overnight
e_multi_day_breakout,SHORT,2022-04-07 15:40:00+00:00,14409.0,14416.25,14394.5,2022-04-07 15:43:00+00:00,14394.5,target,24.18,58,3.0,2022,27.0,76.0,MEAN_REVERT_CHOP,Mid-Day Lull
a_asian_continuation,LONG,2022-04-08 08:00:00+00:00,14625.5,14622.0,14632.5,2022-04-08 08:01:00+00:00,14622.0,stop,-11.82,-14,1.0,2022,18.0,21.0,MEAN_REVERT_CHOP,Globex Overnight
a_asian_continuation,SHORT,2022-04-11 08:15:00+00:00,14216.75,14220.25,14209.75,2022-04-11 08:16:00+00:00,14209.75,target,9.18,28,1.0,2022,0.0,34.0,LOW_VOL_TREND,Globex Overnight
e_multi_day_breakout,SHORT,2022-04-11 14:22:00+00:00,14120.5,14124.25,14113.0,2022-04-11 14:23:00+00:00,14113.0,target,10.18,30,1.0,2022,4.0,72.0,LOW_VOL_TREND,Opening Drive
raschke_baseline,SHORT,2022-04-11 15:45:00+00:00,14087.5,14094.5,14073.5,2022-04-11 15:48:00+00:00,14073.5,target,23.18,56,3.0,2022,12.0,83.0,LOW_VOL_TREND,Mid-Day Lull
a_asian_continuation,LONG,2022-04-12 09:50:00+00:00,14031.0,14027.5,14038.0,2022-04-12 09:53:00+00:00,14038.0,target,9.18,28,3.0,2022,3.0,29.0,LOW_VOL_TREND,Globex Overnight
g_inside_bar_breakout,SHORT,2022-04-12 17:00:00+00:00,14109.0,14115.0,14097.0,2022-04-12 17:02:00+00:00,14097.0,target,19.18,48,2.0,2022,10.0,167.0,LOW_VOL_TREND,Mid-Day Lull
a_asian_continuation,SHORT,2022-04-13 09:55:00+00:00,14017.75,14021.25,14010.75,2022-04-13 09:56:00+00:00,14010.75,target,9.18,28,1.0,2022,12.0,60.0,LOW_VOL_TREND,Globex Overnight
a_asian_continuation,SHORT,2022-04-14 10:30:00+00:00,14222.5,14226.0,14215.5,2022-04-14 10:32:00+00:00,14215.5,target,9.18,28,2.0,2022,2.0,44.0,MEAN_REVERT_CHOP,Globex Overnight
raschke_baseline,SHORT,2022-04-14 18:30:00+00:00,14012.75,14015.0,14008.25,2022-04-14 18:31:00+00:00,14008.25,target,4.18,18,1.0,2022,4.0,51.0,MEAN_REVERT_CHOP,Other RTH
a_asian_continuation,LONG,2022-04-18 08:00:00+00:00,13793.0,13789.5,13800.0,2022-04-18 08:01:00+00:00,13800.0,target,9.18,28,1.0,2022,0.0,94.0,LOW_VOL_TREND,Globex Overnight
e_multi_day_breakout,SHORT,2022-04-18 13:59:00+00:00,13866.5,13869.75,13860.0,2022-04-18 14:00:00+00:00,13860.0,target,8.18,26,1.0,2022,0.0,124.0,LOW_VOL_TREND,Opening Drive
a_asian_continuation,SHORT,2022-04-19 08:45:00+00:00,13925.5,13929.0,13918.5,2022-04-19 08:46:00+00:00,13918.5,target,9.18,28,1.0,2022,2.0,46.0,LOW_VOL_TREND,Globex Overnight
raschke_baseline,LONG,2022-04-19 17:00:00+00:00,14153.75,14145.75,14169.75,2022-04-19 17:03:00+00:00,14169.75,target,27.18,64,3.0,2022,3.0,64.0,LOW_VOL_TREND,Mid-Day Lull
raschke_baseline,LONG,2022-04-19 19:05:00+00:00,14150.5,14144.75,14162.0,2022-04-19 19:08:00+00:00,14162.0,target,18.18,46,3.0,2022,19.0,92.0,LOW_VOL_TREND,Power Hour
raschke_baseline,LONG,2022-04-19 19:55:00+00:00,14188.25,14179.0,14206.75,2022-04-19 19:58:00+00:00,14206.75,target,32.18,74,3.0,2022,19.0,86.0,LOW_VOL_TREND,Power Hour
a_asian_continuation,LONG,2022-04-20 09:15:00+00:00,14144.5,14141.0,14151.5,2022-04-20 09:17:00+00:00,14151.5,target,9.18,28,2.0,2022,2.0,42.0,MEAN_REVERT_CHOP,Globex Overnight
raschke_baseline,SHORT,2022-04-20 19:30:00+00:00,14026.75,14035.5,14009.25,2022-04-20 19:33:00+00:00,14009.25,target,30.18,70,3.0,2022,33.0,76.0,MEAN_REVERT_CHOP,Power Hour
e_multi_day_breakout,SHORT,2022-04-22 13:46:00+00:00,13686.0,13688.5,13681.0,2022-04-22 13:47:00+00:00,13681.0,target,5.18,20,1.0,2022,3.0,130.0,MEAN_REVERT_CHOP,Opening Drive
a_asian_continuation,SHORT,2022-04-25 11:15:00+00:00,13213.25,13216.75,13206.25,2022-04-25 11:16:00+00:00,13216.75,stop,-11.82,-14,1.0,2022,19.0,11.0,MEAN_REVERT_CHOP,Globex Overnight
e_multi_day_breakout,SHORT,2022-04-25 13:55:00+00:00,13330.75,13335.5,13321.25,2022-04-25 13:56:00+00:00,13321.25,target,14.18,38,1.0,2022,17.0,112.0,MEAN_REVERT_CHOP,Opening Drive
e_multi_day_breakout,SHORT,2022-04-26 14:29:00+00:00,13211.5,13213.25,13208.0,2022-04-26 14:30:00+00:00,13208.0,target,2.1799999999999997,14,1.0,2022,0.0,91.0,MEAN_REVERT_CHOP,Opening Drive
a_asian_continuation,SHORT,2022-04-27 11:20:00+00:00,13072.5,13076.0,13065.5,2022-04-27 11:21:00+00:00,13065.5,target,9.18,28,1.0,2022,0.0,46.0,LOW_VOL_TREND,Globex Overnight
e_multi_day_breakout,SHORT,2022-04-27 14:34:00+00:00,12983.5,12987.0,12976.5,2022-04-27 14:35:00+00:00,12987.0,stop,-11.82,-14,1.0,2022,117.0,33.0,LOW_VOL_TREND,Opening Drive
a_asian_continuation,SHORT,2022-04-28 12:50:00+00:00,13198.75,13202.25,13191.75,2022-04-28 12:51:00+00:00,13191.75,target,9.18,28,1.0,2022,8.0,66.0,MEAN_REVERT_CHOP,Globex Overnight
