strategy,window_idx,is_start,is_end,oos_start,oos_end,best_params,is_pf,is_trades,oos_pf,oos_trades,oos_net,wfe,degraded
vwap_pullback_v2,7,2023-02-17,2024-02-16,2024-02-17,2024-05-16,{},0.8093,1127,0.7318,271,-1522.22,0.9042,False
big_move_signal,7,2023-02-17,2024-02-16,2024-02-17,2024-05-16,{},0.0,0,0.0,0,0.0,0.0,False
orb_v2,7,2023-02-17,2024-02-16,2024-02-17,2024-05-16,{},999.0,1,0.0,1,-28.82,0.0,True
orb_fade,7,2023-02-17,2024-02-16,2024-02-17,2024-05-16,{},0.707,193,0.8996,42,-66.94,1.2724,False
spring_setup,7,2023-02-17,2024-02-16,2024-02-17,2024-05-16,{},0.8693,3682,0.837,874,-4276.18,0.9628,False
bias_momentum,8,2023-05-17,2024-05-16,2024-05-17,2024-08-16,"{""min_confluence"": 6.5, ""stop_atr_mult"": 1.5, ""target_rr"": 2.5}",1.1954,3185,1.4059,1216,11491.88,1.1761,False
ib_breakout,8,2023-05-17,2024-05-16,2024-05-17,2024-08-16,"{""ib_minutes"": 10, ""max_ib_width_atr_mult"": 3.0, ""target_extension"": 2.5}",1.1816,62,2.2318,16,764.38,1.8887,False
vwap_band_reversion,8,2023-05-17,2024-05-16,2024-05-17,2024-08-16,{},0.7884,678,0.8975,141,-494.12,1.1384,False
compression_breakout_micro,8,2023-05-17,2024-05-16,2024-05-17,2024-08-16,{},0.6603,55,0.6834,18,-53.26,1.0349,False
vwap_pullback_v2,8,2023-05-17,2024-05-16,2024-05-17,2024-08-16,{},0.7615,1123,1.0663,272,402.46,1.4003,False
big_move_signal,8,2023-05-17,2024-05-16,2024-05-17,2024-08-16,{},0.0,0,0.0,0,0.0,0.0,False
orb_v2,8,2023-05-17,2024-05-16,2024-05-17,2024-08-16,{},999.0,1,0.0,1,-31.32,0.0,True
orb_fade,8,2023-05-17,2024-05-16,2024-05-17,2024-08-16,{},0.6988,188,0.6679,57,-317.24,0.9558,False
