entry_ts,entry_price,stop_price,target_price,direction,exit_ts,exit_price,exit_reason,pnl_points,pnl_dollars,category
2026-06-02T09:06:54.215339+00:00,30616.75,30614.5,30620.125,LONG,2026-06-02 09:07:00+00:00,30614.5,stop,-2.25,-9.0,B_signal_rrelax
2026-06-02T09:07:46.925799+00:00,30612.75,30610.5,30616.125,LONG,2026-06-02 09:08:00+00:00,30610.5,stop,-2.25,-9.0,B_signal_rrelax
2026-06-02T09:08:04.114833+00:00,30611.0,30608.75,30614.375,LONG,2026-06-02 09:09:00+00:00,30608.75,stop,-2.25,-9.0,B_signal_rrelax
2026-06-02T09:08:54.326495+00:00,30616.0,30613.75,30619.375,LONG,2026-06-02 09:09:00+00:00,30613.75,stop,-2.25,-9.0,B_signal_rrelax
2026-06-02T09:09:54.477006+00:00,30616.25,30614.0,30619.625,LONG,2026-06-02 09:10:00+00:00,30614.0,stop,-2.25,-9.0,B_signal_rrelax
2026-06-02T09:10:54.492100+00:00,30608.25,30606.0,30611.625,LONG,2026-06-02 09:11:00+00:00,30606.0,stop,-2.25,-9.0,B_signal_rrelax
2026-06-02T09:12:54.668158+00:00,30631.75,30629.5,30635.125,LONG,2026-06-02 09:13:00+00:00,30635.125,target,3.375,13.5,B_signal_rrelax
2026-06-02T09:13:54.713868+00:00,30645.75,30643.5,30649.125,LONG,2026-06-02 09:14:00+00:00,30643.5,stop,-2.25,-9.0,B_signal_rrelax
2026-06-02T09:15:54.609888+00:00,30625.75,30623.5,30629.125,LONG,2026-06-02 09:16:00+00:00,30623.5,stop,-2.25,-9.0,B_signal_rrelax
2026-06-02T09:37:47.119389+00:00,30609.25,30607.0,30612.625,LONG,2026-06-02 09:38:00+00:00,30607.0,stop,-2.25,-9.0,B_signal_rrelax
2026-06-02T09:38:05.824099+00:00,30608.75,30606.5,30612.125,LONG,2026-06-02 09:39:00+00:00,30606.5,stop,-2.25,-9.0,B_signal_rrelax
2026-06-02T09:38:55.722156+00:00,30610.0,30607.75,30613.375,LONG,2026-06-02 09:39:00+00:00,30607.75,stop,-2.25,-9.0,B_signal_rrelax
2026-06-02T10:17:47.552663+00:00,30668.75,30666.5,30672.125,LONG,2026-06-02 10:18:00+00:00,30666.5,stop,-2.25,-9.0,B_signal_rrelax
2026-06-02T10:17:58.734064+00:00,30668.25,30666.0,30671.625,LONG,2026-06-02 10:18:00+00:00,30666.0,stop,-2.25,-9.0,B_signal_rrelax
2026-06-02T10:18:58.385473+00:00,30665.0,30662.75,30668.375,LONG,2026-06-02 10:19:00+00:00,30662.75,stop,-2.25,-9.0,B_signal_rrelax
2026-06-02T10:20:58.531194+00:00,30671.0,30668.75,30674.375,LONG,2026-06-02 10:21:00+00:00,30674.375,target,3.375,13.5,B_signal_rrelax
2026-06-02T10:21:58.638884+00:00,30671.5,30669.25,30674.875,LONG,2026-06-02 10:22:00+00:00,30674.875,target,3.375,13.5,B_signal_rrelax
2026-06-02T10:22:58.706263+00:00,30675.0,30672.75,30678.375,LONG,2026-06-02 10:23:00+00:00,30672.75,stop,-2.25,-9.0,B_signal_rrelax
2026-06-02T10:37:48.046941+00:00,30677.0,30674.75,30680.375,LONG,2026-06-02 10:38:00+00:00,30674.75,stop,-2.25,-9.0,B_signal_rrelax
2026-06-02T10:38:00.769940+00:00,30677.0,30674.75,30680.375,LONG,2026-06-02 10:39:00+00:00,30680.375,target,3.375,13.5,B_signal_rrelax
2026-06-02T10:39:00.317960+00:00,30681.25,30679.0,30684.625,LONG,2026-06-02 10:40:00+00:00,30679.0,stop,-2.25,-9.0,B_signal_rrelax
2026-06-02T10:40:00.350531+00:00,30675.75,30673.5,30679.125,LONG,2026-06-02 10:41:00+00:00,30679.125,target,3.375,13.5,B_signal_rrelax
2026-06-02T10:41:00.518383+00:00,30679.25,30677.0,30682.625,LONG,2026-06-02 10:42:00+00:00,30677.0,stop,-2.25,-9.0,B_signal_rrelax
2026-06-02T10:43:00.756169+00:00,30680.75,30678.5,30684.125,LONG,2026-06-02 10:44:00+00:00,30678.5,stop,-2.25,-9.0,B_signal_rrelax
2026-06-04T05:05:12.547505+00:00,30315.5,30317.75,30312.125,SHORT,2026-06-04 05:08:00+00:00,30317.75,stop,-2.25,-9.0,B_signal_rrelax
2026-06-04T12:39:00+00:00,30517.75,30515.5,30521.125,LONG,2026-06-04 12:40:00+00:00,30515.5,stop,-2.25,-9.0,baseline_random
2026-06-04T04:13:00+00:00,30275.75,30278.0,30272.375,SHORT,2026-06-04 04:14:00+00:00,30278.0,stop,-2.25,-9.0,baseline_random
2026-05-28T14:01:00+00:00,30290.0,30292.25,30286.625,SHORT,2026-05-28 14:02:00+00:00,30292.25,stop,-2.25,-9.0,baseline_random
2026-06-01T06:36:00+00:00,30484.75,30482.5,30488.125,LONG,2026-06-01 06:38:00+00:00,30488.125,target,3.375,13.5,baseline_random
2026-06-01T01:45:00+00:00,30573.0,30570.75,30576.375,LONG,2026-06-01 01:48:00+00:00,30576.375,target,3.375,13.5,baseline_random
2026-06-02T08:49:00+00:00,30548.5,30550.75,30545.125,SHORT,2026-06-02 08:50:00+00:00,30550.75,stop,-2.25,-9.0,baseline_random
2026-05-28T08:12:00+00:00,30041.0,30043.25,30037.625,SHORT,2026-05-28 08:14:00+00:00,30043.25,stop,-2.25,-9.0,baseline_random
2026-06-04T14:35:00+00:00,30592.5,30594.75,30589.125,SHORT,2026-06-04 14:36:00+00:00,30594.75,stop,-2.25,-9.0,baseline_random
2026-06-01T11:02:00+00:00,30520.5,30522.75,30517.125,SHORT,2026-06-01 11:03:00+00:00,30517.125,target,3.375,13.5,baseline_random
2026-06-02T08:08:00+00:00,30490.0,30487.75,30493.375,LONG,2026-06-02 08:09:00+00:00,30487.75,stop,-2.25,-9.0,baseline_random
2026-06-02T18:21:00+00:00,30610.75,30613.0,30607.375,SHORT,2026-06-02 18:22:00+00:00,30613.0,stop,-2.25,-9.0,baseline_random
2026-06-02T07:36:00+00:00,30541.25,30539.0,30544.625,LONG,2026-06-02 07:38:00+00:00,30539.0,stop,-2.25,-9.0,baseline_random
2026-06-01T07:17:00+00:00,30427.0,30424.75,30430.375,LONG,2026-06-01 07:18:00+00:00,30424.75,stop,-2.25,-9.0,baseline_random
2026-06-02T14:26:00+00:00,30681.75,30684.0,30678.375,SHORT,2026-06-02 14:27:00+00:00,30678.375,target,3.375,13.5,baseline_random
2026-06-04T04:18:00+00:00,30260.25,30262.5,30256.875,SHORT,2026-06-04 04:19:00+00:00,30262.5,stop,-2.25,-9.0,baseline_random
